"id","lineID","entryGroupID","lon","lat","status"
"580","1345","510","30.15","31","ok"
"581","1346","511","44.4","32.4","ok"
"582","1348","512","38.2","35.5","ok"
"583","1353","513","38","36","ok"
"584","1354","514","34.3","31.2","ok"
"585","1356","515","44.4","32.4","ok"
"586","1359","516","34.3","31.2","ok"
"587","1362","517","38.2","35.5","ok"
"588","1365","518","31.15","27","ok"
"589","1367","519","44.4","33.2","ok"
"590","1369","520","45.2","31.4","ok"
"591","1372","521","45.2","31.4","ok"
"592","1375","522","31.45","26.3","ok"
"593","1379","523","45.4","3120","ok"
"594","1381","524","35.4","38.5","ok"
"595","1383","525","31.35","30.4","ok"
"596","1386","526","31.4","30.4","ok"
"597","1390","527","31.3","30.3","ok"
"598","1391","528","40.5","34.2","ok"
"599","1393","529","49","26","ok"
"600","1396","530","30.4","29.2","ok"
"601","1399","531","30.4","29.2","ok"
"602","1402","532","30.5","30.35","ok"
"603","1404","533","65","34.1","ok"
"604","1407","534","53.4","24.1","ok"
"605","1407","534","53.4","24.2","ok"
"606","1410","535","46.3","31","ok"
"607","1411","536","35.15","33.2","ok"
"608","1413","537","34.45","31.55","ok"
"609","1415","538","35.48","31.5","ok"
"610","1417","539","35.45","30.15","ok"
"611","1419","540","35.2","3330","ok"
"612","1422","541","35.2","33.3","ok"
"613","1425","542","48","30.15","ok"
"614","1430","544","51.45","29.35","ok"
"615","1432","545","36","31.55","ok"
"616","1434","546","30.4","27.35","ok"
"617","1436","547","35.5","32.35","ok"
"618","1438","548","35.5","32.35","ok"
"619","1441","549","30.1","30.5","ok"
"620","1444","550","30.1","30.55","ok"
"621","1448","551","30","30.45","ok"
"622","1449","552","46.15","24.45","ok"
"623","1451","553","46.15","24.45","ok"
"624","1454","554","35.4","32.25","ok"
"625","1456","555","35.4","32.25","ok"
"626","1459","556","31","31.3","ok"
"627","1462","557","31","31.3","ok"
"628","1465","558","34","28.3","ok"
"629","1467","559","35.35","30.3","ok"
"630","1469","560","30.4","30.55","ok"
"631","1472","561","30.4","30.55","ok"
"632","1474","562","32.25","26.05","ok"
"633","1476","563","44","33.15","ok"
"634","1478","564","27.3","26","ok"
"635","1480","565","35.42","33.56","ok"
"636","1482","566","40","35.15","ok"
"637","1484","567","41","24","ok"
"638","1486","568","47","31.15","ok"
"639","1489","569","55","25.5","ok"
"640","1490","570","42.45","33.3","ok"
"641","1492","571","31.1","29.55","ok"
"642","1494","572","32","25.3","ok"
"643","1496","573","35.5","32","ok"
"644","1498","574","35.5","32","ok"
"645","1501","575","34","29","ok"
"646","1503","576","30.5","30.2","ok"
"647","1505","577","31.5","30.5","ok"
"648","1507","578","35.38","33.22","ok"
"649","1509","579","35.55","32.4","ok"
"650","1511","580","31.35","30.5","ok"
"651","1514","581","33.3","27.15","ok"
"652","1516","582","35.11","31.55","ok"
"653","1518","583","30","31.15","ok"
"654","1521","584","36.2","35.1","ok"
"655","1524","585","35.5","31.52","ok"
"656","1526","586","35.1","24","ok"
"657","1529","587","35.5","31.52","ok"
"658","1533","588","30.45","27.45","ok"
"659","1534","589","30.45","27.55","ok"
"660","1538","590","41.2","36.5","ok"
"661","1540","591","33.15","25.5","ok"
"662","1542","592","35.4","30.45","ok"
"663","1544","593","46.4","30.4","ok"
"664","1546","594","32.55","23.2","ok"
"665","1555","597","45","33.15","ok"
"666","1558","598","45","33.15","ok"
"667","1561","599","45.05","33.15","ok"
"668","1563","600","45.05","33.1","ok"
"669","1566","601","45","33.1","ok"
"670","1569","602","44.4","33.4","ok"
"671","1572","603","45","33.1","ok"
"672","1575","604","31","30.05","ok"
"673","1578","605","31.03","30.03","ok"
"674","1581","606","35.45","31.1","ok"
"675","1583","607","31","30.05","ok"
"676","1585","608","31.1","29.35","ok"
"677","1587","609","31","30","ok"
"678","1590","610","50.2","27","ok"
"679","1591","611","35.15","30.15","ok"
"680","1593","612","47.15","30.45","ok"
"681","1594","613","46","30.15","ok"
