"id","lineID","entryGroupID","type","status"
"767","1879","722","Siedl.","ok"
"768","1881","723","Siedl.","ok"
"769","1884","724","Siedl.","ok"
"770","1887","725","Siedl.","ok"
"771","1889","726","Siedl.","ok"
"772","1891","727","Siedl.","ok"
"773","1894","728","Siedl.","ok"
"774","1897","729","Siedl.","ok"
"775","1900","730","Siedl.","ok"
"776","1902","731","Siedl.","ok"
"777","1905","732","Siedl.","ok"
"778","1908","733","Siedl.","ok"
"779","1911","734","Siedl.","ok"
"780","1913","735","Siedl.","ok"
"781","1916","736","Siedl.","ok"
"782","1919","737","Siedl.","ok"
"783","1922","738","Siedl.","ok"
"784","1925","739","Siedl.","ok"
"785","1928","740","Siedl.","ok"
"786","1930","741","Siedl.","ok"
"787","1932","742","Siedl.","ok"
"788","1934","743","Admin.","ok"
"789","1936","744","Siedl.","ok"
"790","1938","745","Siedl.","ok"
"791","1940","746","Siedl.","ok"
"792","1942","747","Siedl.","ok"
"793","1945","748","Siedl.","ok"
"794","1949","749","Siedl.","ok"
"795","1951","750","Admin.","ok"
